Rk,Player,Age,Team,Lg,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR
1162,Ronel Blanco,31,HOU,AL,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1163,Juan Burgos,25,2TM,2LG,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
1163,Juan Burgos,25,SEA,AL,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1163,Juan Burgos,25,ARI,NL,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1164,Luis Contreras,29,HOU,AL,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1165,Dugan Darnell,28,COL,NL,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1166,Alexis Díaz,28,3TM,NL,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0
1166,Alexis Díaz,28,CIN,NL,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1166,Alexis Díaz,28,LAD,NL,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1166,Alexis Díaz,28,ATL,NL,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1167,Sean Guenther,29,DET,AL,9,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1168,Justin Hagenman,28,NYM,NL,9,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1169,Tanner Houck,29,BOS,AL,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1170,Andry Lara,22,WSN,NL,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1171,Ben Lively,33,CLE,AL,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1172,Easton McGee,27,MIL,NL,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1173,Owen Miller,28,COL,NL,9,4,9,6,0,0,0,5,2,0,0,0,0,0,2,2,1
1174,Frankie Montas,32,NYM,NL,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1175,Roddery Muñoz,25,STL,NL,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
